GENEID	R3452	R3462	R3485	R2869	R3098	R3467
BRSK2	13506	12752	10076	8864	1671	8035
MOB2	1596	1897	1764	1687	725	1202
DUSP8	7454	6571	9817	8160	1755	7360
LOC338651	330	378	603	614	9	339
KRTAP5-1	175	190	149	84	4	69
KRTAP5-2	3	1	2	1	0	2
KRTAP5-3	0	0	0	0	0	2
KRTAP5-4	0	0	0	2	0	2
KRTAP5-5	0	0	2	0	0	0
FAM99A	0	0	0	0	0	0
FAM99B	0	0	0	0	0	0
KRTAP5-6	0	0	0	0	0	0
IFITM10	143	147	168	2030	409	1337
CTSD	5008	4227	3957	18543	4359	13310
SYT8	2	0	0	0	0	4
TNNI2	0	0	2	2	0	0
LSP1	3	22	37	59	108	70
MIR4298	0	0	0	0	0	0
TNNT3	0	14	35	46	2	13
MRPL23	938	970	815	928	456	643
MRPL23-AS1	156	67	55	160	46	190
H19	150	261	356	53	4	24
MIR675	0	0	0	0	0	0
INS-IGF2	0	0	0	0	0	0
IGF2	177	498	936	2	9	16
MIR483	0	0	0	0	0	0
IGF2-AS1	1	8	29	1	16	0
INS	0	0	0	0	0	0
TH	0	0	11	121	12	41
MIR4686	0	0	0	5	1	2
ASCL2	53	27	71	24	2	44
C11orf21	6	3	6	18	11	29
TSPAN32	76	56	105	31	11	31
CD81	8805	8899	8013	13363	8056	6824
TSSC4	1501	1796	1417	1037	446	808
TRPM5	6	8	5	4	6	0
KCNQ1	136	132	132	60	18	57
KCNQ1OT1	320	968	1083	341	72	251
KCNQ1DN	0	2	0	15	0	9
CDKN1C	917	1295	1799	1443	214	503
SLC22A18AS	2	4	8	84	6	62
SLC22A18	53	64	138	335	58	295
PHLDA2	4	6	18	72	54	76
NAP1L4	14701	17396	19277	7212	3527	5434
SNORA54	6	10	12	0	0	2
CARS	3686	4590	6283	3270	583	3466
OSBPL5	8268	7116	7421	1469	469	1443
MRGPRG	0	0	0	0	0	0
C11orf36	2	0	0	0	0	0
MRGPRE	0	2	1	17	2	12
ZNF195	5768	6104	6315	1481	367	1199
LOC650368	934	43	103	25	3	22
OR7E12P	170	34	55	0	0	0
TRPC2	1	1	2	0	0	2
ART5	12	26	8	4	2	2
ART1	0	2	1	0	0	0
CHRNA10	135	144	71	45	5	30
NUP98	5430	6725	5372	2135	619	2003
PGAP2	1613	1548	1181	930	193	567
RHOG	444	514	356	1404	341	422
STIM1	1565	2403	2733	5417	1312	5828
MIR4687	0	0	0	0	0	0
RRM1	6769	8118	4674	1471	312	1376
OR52B4	0	0	0	0	0	0
TRIM21	223	262	212	151	94	108
OR52K2	0	0	0	0	0	0
OR52K1	0	0	0	0	0	0
OR52M1	0	0	0	0	0	0
C11orf40	0	0	0	2	0	0
OR52I2	0	0	0	0	0	0
OR52I1	1	5	4	0	0	1
TRIM68	1276	1437	1505	715	190	634
OR51D1	0	0	0	0	0	0
OR51E1	0	16	26	6	12	18
OR51E2	2	0	4	18	4	12
OR51F1	0	0	0	0	0	0
OR52R1	0	0	0	0	0	0
OR51F2	0	0	0	0	0	0
OR51S1	0	0	0	0	0	0
OR51T1	0	1	0	0	0	0
OR51A7	0	0	0	0	0	0
OR51G2	0	0	0	0	0	0
OR51G1	0	0	0	0	0	0
OR51A4	0	0	0	0	0	0
OR51A2	0	0	0	0	0	0
MMP26	0	0	0	4	0	0
OR51L1	0	0	0	0	0	0
OR52J3	0	0	0	0	0	0
OR52E2	0	0	0	0	0	0
OR52A5	0	0	0	2	0	0
OR52A1	0	0	0	0	0	4
OR51V1	0	0	0	0	0	0
HBB	1987	1715	629	2425	6197	8946
HBD	0	3	2	1	0	28
HBBP1	3	0	0	2	0	0
HBG1	1056	1072	464	2	1	1
HBG2	10779	12821	4669	0	6	23
HBE1	16	45	33	8	0	0
OR51B4	2	0	0	0	0	0
OR51B2	0	0	6	0	0	0
OR51B5	0	4	3	4	2	0
OR51B6	0	0	1	0	0	0
OR51M1	0	0	0	0	0	0
OR51Q1	0	0	0	0	0	0
OR51I1	0	0	0	0	0	0
OR51I2	2	0	0	0	0	0
OR52D1	0	0	0	0	0	0
UBQLN3	0	0	0	0	0	0
UBQLNL	6	15	42	8	0	8
OR52H1	1	0	2	0	0	0
OR52B6	0	6	2	0	0	0
TRIM6	27	54	22	54	13	8
TRIM6-TRIM34	0	0	0	0	0	0
TRIM34	0	4	5	2	2	2
TRIM78P	27	48	17	3	4	1
TRIM5	307	480	270	115	108	94
TRIM22	281	468	482	569	235	392
OR56B1	0	0	6	0	0	0
OR52N4	0	1	8	4	0	6
OR52N5	0	0	0	0	0	0
OR52N1	0	0	0	0	0	0
OR52N2	0	0	0	2	0	2
OR52E6	0	0	0	0	0	0
OR52E8	0	0	0	0	0	0
OR52E4	0	0	0	0	0	0
OR56A3	0	0	3	0	0	0
OR56A5	4	0	0	0	0	0
OR52L1	0	0	1	0	0	0
OR56A4	0	0	2	0	0	0
OR56A1	0	0	0	0	0	0
OR56B4	2	2	0	2	4	0
OR52B2	1	1	2	0	0	0
OR52W1	2	18	17	0	0	6
C11orf42	217	325	237	8	5	50
FAM160A2	3984	3856	3536	1614	382	1746
CNGA4	112	86	57	68	20	45
CCKBR	539	702	1934	1592	186	1827
PRKCDBP	88	112	75	88	249	117
SMPD1	1927	2047	1800	2817	740	1889
APBB1	20542	24620	31338	22805	3617	20480
HPX	351	527	423	32	10	37
TRIM3	6546	6375	6992	2535	372	2256
ARFIP2	3090	3262	3340	2539	577	2314
FXC1	2917	3443	3885	2618	860	2226
DNHD1	1143	1527	907	898	206	720
RRP8	1038	1282	927	556	153	379
ILK	5619	6648	5736	3802	1761	2901
TAF10	895	853	916	1187	616	876
TPP1	1797	2649	1254	9845	3756	4481
DCHS1	33967	45214	27970	1607	1117	1288
MRPL17	1159	1548	1603	937	302	831
GVINP1	50	54	117	34	64	87
OR2AG2	4	0	10	1	3	2
OR2AG1	0	2	2	0	0	0
OR6A2	2	2	5	1	0	4
OR10A5	0	0	1	1	2	0
OR10A2	0	0	4	6	0	2
OR10A4	1	0	4	0	0	2
OR2D2	0	2	4	3	0	2
OR2D3	0	0	1	0	0	2
ZNF215	202	194	496	70	16	122
ZNF214	606	765	914	176	22	230
NLRP14	14	35	51	10	4	0
RBMXL2	2	8	4	4	0	0
SYT9	121	867	725	920	255	765
OLFML1	65	142	317	69	112	55
PPFIBP2	910	1257	742	1064	378	537
CYB5R2	51	116	86	846	97	275
OVCH2	14	22	10	5	0	2
OR5P2	0	0	0	0	0	0
OR5P3	0	0	0	0	0	0
OR5E1P	0	0	0	0	0	0
LOC283299	0	0	0	0	0	0
OR10A6	0	0	0	0	0	0
OR10A3	0	0	0	0	0	0
NLRP10	0	0	0	1	0	4
EIF3F	11298	11581	8786	2253	1135	2029
TUB	16213	16666	26320	6902	1998	9362
RIC3	2759	2325	3836	3185	516	2764
LMO1	97	193	63	85	23	52
STK33	219	262	57	352	282	110
TRIM66	372	672	759	1279	369	1470
RPL27A	26434	44456	34147	6700	5771	4968
SNORA3	14	24	32	4	3	1
SNORA45	14	14	29	19	2	6
ST5	1184	1680	1331	2084	1162	1472
AKIP1	1072	1084	1302	873	308	744
C11orf16	26	16	7	4	0	4
ASCL3	7	8	6	1	0	0
TMEM9B	3569	4037	5347	4133	1683	3108
NRIP3	351	997	825	5713	452	5841
SCUBE2	373	577	388	324	151	163
KRT8P41	3	5	0	2	0	2
DENND5A	10225	14327	10709	9876	4078	9335
TMEM41B	3026	4269	4773	2740	722	1807
IPO7	23691	27965	33155	7960	1875	9881
SNORA23	9	7	4	2	0	2
LOC644656	217	254	224	172	84	72
ZNF143	1924	2095	1681	807	226	649
WEE1	2918	3800	795	73	86	47
SWAP70	1438	2239	1874	2043	996	1603
LOC440028	5	9	7	2	2	2
LOC283104	376	428	524	211	40	260
SBF2	13323	16424	18571	1880	999	1776
ADM	383	419	138	105	330	59
AMPD3	89	261	142	807	361	1077
MTRNR2L8	6	12	15	60	26	42
MIR4485	0	0	0	0	0	0
RNF141	4633	6295	8379	7407	2882	5886
MRVI1-AS1	0	3	10	7	5	17
LYVE1	191	762	1134	128	42	213
MRVI1	104	275	305	3272	4662	951
CTR9	7543	9756	8830	2676	629	2628
EIF4G2	124244	181971	184846	33525	9130	37320
SNORD97	63	100	63	3	1	3
ZBED5	8239	11093	9463	2243	480	1939
LOC729013	111	111	124	271	184	166
GALNTL4	1602	972	1013	1436	514	1404
CSNK2A1P	1105	1535	1636	468	88	502
MIR4299	0	0	0	0	0	0
USP47	14563	19754	17343	7935	2350	6519
DKK3	13985	17708	17771	41488	9298	38883
MICAL2	2812	1415	1472	12950	581	15772
MICALCL	25	33	21	1	4	17
PARVA	2833	4322	2115	3661	2077	2322
TEAD1	5768	8631	2334	1967	1265	1436
LOC100506305	19	24	13	13	14	4
RASSF10	144	129	51	21	34	16
ARNTL	1806	1314	1444	1975	625	2634
BTBD10	6130	8340	9698	6363	491	6690
PTH	0	0	0	0	0	0
FAR1	7947	11952	12467	7217	1105	5417
SPON1	140	949	4563	5255	2259	1249
RRAS2	732	2276	3353	496	247	452
COPB1	8429	11829	12168	3491	902	3019
PSMA1	5027	5826	6731	4466	904	3708
PDE3B	1143	1938	1978	629	310	575
CYP2R1	843	1292	1391	450	132	289
CALCA	0	0	0	0	2	0
CALCB	2	0	0	14	0	39
INSC	6	8	8	15	4	14
SOX6	2492	5164	2126	908	836	872
C11orf58	13317	16675	17432	8579	1966	7637
PLEKHA7	988	2112	1707	459	249	191
OR7E14P	14	37	21	13	33	12
RPS13	32605	33375	33753	4945	4137	3310
PIK3C2A	6229	8796	5335	3924	2541	2842
NUCB2	2585	3174	4341	1257	526	1247
B7H6	2269	3179	7996	536	52	1896
KCNJ11	890	1020	1372	1453	166	1403
ABCC8	1971	1700	2362	3318	493	3672
USH1C	31	40	9	494	81	184
MYOD1	5	1	6	2	0	2
KCNC1	3824	4641	7589	5920	379	6694
SERGEF	1110	1345	2221	3064	864	2674
TPH1	28	47	46	8	2	8
SAAL1	1561	1681	1428	344	79	355
SAA3P	0	0	0	0	0	0
MRGPRX3	0	0	2	0	0	4
MRGPRX4	0	0	0	0	0	0
LOC494141	3	1	0	0	0	0
SAA2-SAA4	0	0	0	0	0	0
SAA4	0	1	0	2	0	1
SAA2	2	2	7	2	0	12
SAA1	0	0	0	0	0	0
HPS5	2048	2872	1810	808	311	588
GTF2H1	3579	3990	4967	1995	383	2645
LDHA	10307	13728	16318	19123	2081	16981
LDHC	0	0	2	0	0	2
LDHAL6A	255	386	296	29	0	48
TSG101	5379	6549	6622	2188	761	1720
UEVLD	698	817	1066	512	170	522
LOC100506540	74	113	98	11	7	12
SPTY2D1	1637	2230	1862	793	148	853
TMEM86A	611	675	759	303	71	386
IGSF22	212	269	276	203	28	163
PTPN5	7037	9323	11959	8120	858	9181
MRGPRX1	0	0	0	0	0	0
MRGPRX2	0	0	0	0	0	0
ZDHHC13	1836	3052	2772	827	189	654
CSRP3	1	4	3	0	0	1
E2F8	391	476	26	0	0	3
NAV2	19155	21073	30640	2654	1097	2684
NAV2-AS4	0	1	4	2	0	0
MIR4486	0	0	0	0	0	0
LOC100126784	629	598	703	973	103	1111
MIR4694	0	0	2	0	0	0
DBX1	0	2	0	0	0	0
HTATIP2	166	225	536	809	172	700
PRMT3	1213	1083	1247	1042	375	658
SLC6A5	2	6	0	0	0	8
NELL1	3482	2890	4060	2285	59	2789
ANO5	699	1290	1395	2609	438	3112
SLC17A6	1995	3303	336	761	56	1499
FANCF	2938	2837	2339	542	145	540
GAS2	144	259	136	257	51	205
SVIP	431	243	231	2073	303	1728
LOC100500938	0	0	0	0	2	0
LUZP2	1367	1133	3839	1490	774	1646
ANO3	126	73	485	3081	263	4278
MUC15	0	0	0	0	2	5
SLC5A12	4	8	18	33	8	12
FIBIN	237	122	319	995	601	324
BBOX1	20	12	36	803	738	231
CCDC34	1257	1471	1884	727	106	742
LGR4	849	1134	2140	1721	771	969
LIN7C	7932	8462	16544	2363	613	1753
BDNF-AS1	105	146	123	567	213	243
BDNF	26	419	1158	555	41	987
KIF18A	593	677	96	16	14	6
MIR610	0	0	0	0	0	0
METTL15	887	967	1244	840	166	718
KCNA4	725	519	647	585	40	812
FSHB	0	0	0	0	0	0
C11orf46	2920	3320	3583	1372	278	1800
MPPED2	10037	10771	6954	1445	486	1728
DCDC5	108	43	24	25	0	58
DCDC1	12	12	0	1	2	12
DNAJC24	864	1329	1142	1006	253	929
IMMP1L	181	341	316	173	65	165
ELP4	723	1065	914	528	345	439
PAX6	6678	11830	2272	1936	1281	780
DKFZp686K1684	2	10	2	0	1	0
RCN1	2268	4344	2146	2571	966	3332
WT1	0	2	0	1	2	2
WT1-AS	0	0	0	2	0	0
EIF3M	6127	7111	8221	2542	672	2529
CCDC73	575	641	1157	307	65	264
PRRG4	8	14	18	26	11	20
QSER1	12389	20461	9466	1184	636	1488
DEPDC7	195	216	102	225	21	87
TCP11L1	3742	3940	4346	1472	153	2797
LINC00294	4658	4764	5208	4288	467	4479
CSTF3	5471	5993	6263	2045	477	1707
LOC338739	10	21	6	10	6	4
HIPK3	3801	4672	5631	981	403	2649
C11orf41	12426	19108	29156	11893	972	27571
C11orf91	11	8	0	6	7	18
CD59	5722	7175	5853	15426	7444	10868
FBXO3	5165	6056	8201	3550	864	3197
LMO2	899	1279	1229	1133	1097	840
CAPRIN1	39302	46839	51290	11985	2590	12260
NAT10	4966	5419	5071	2563	648	2321
ABTB2	2153	2635	667	977	306	566
CAT	2498	3926	2964	2203	1337	739
ELF5	0	2	0	6	0	2
EHF	0	6	10	78	12	71
APIP	988	1155	1339	1222	230	508
PDHX	2709	3142	3705	3452	521	3055
MIR1343	1	0	0	0	0	0
CD44	200	503	168	496	235	212
SLC1A2	23163	30673	27045	183257	151475	54502
PAMR1	54	155	311	2070	1889	791
FJX1	4605	3791	4194	1206	409	1044
TRIM44	9457	9035	12667	4304	898	11263
LDLRAD3	1989	2682	2172	607	309	508
MIR3973	0	0	2	0	1	0
COMMD9	2870	2830	3760	1991	579	1762
PRR5L	301	520	244	666	105	381
TRAF6	3755	5041	5445	1257	281	1617
RAG1	51	56	62	24	4	34
RAG2	11	20	12	17	1	10
C11orf74	982	1211	1286	872	197	755
LRRC4C	3439	2425	5094	2510	228	3843
LOC100507205	0	0	1	0	0	0
HNRNPKP3	3	2	1	0	0	2
API5	10067	11305	11888	6341	1253	6686
TTC17	6582	8400	8387	2172	666	2095
MIR670	0	0	0	4	0	2
MIR129-2	0	0	0	0	0	0
HSD17B12	3130	4205	5535	7611	2585	5131
ALKBH3	705	739	521	686	113	596
LOC729799	140	106	74	36	14	32
LOC100507300	85	69	62	14	0	19
C11orf96	576	506	566	303	909	296
ACCSL	8	0	2	0	0	0
ACCS	236	331	331	202	131	144
EXT2	5506	6646	5536	2158	673	2043
ALX4	69	350	571	10	111	55
CD82	521	1040	530	1465	649	735
TSPAN18	12845	9740	5863	287	231	220
TP53I11	22687	16150	21062	1902	705	2265
LOC221122	0	0	0	0	0	0
PRDM11	2422	2572	3556	1029	288	1273
SYT13	29790	20366	45386	11343	778	18313
CHST1	3859	3215	4116	6370	1320	5809
DKFZp779M0652	5	4	6	38	78	35
SLC35C1	2616	2680	3676	820	192	927
CRY2	7339	6019	6747	6331	1800	6429
MAPK8IP1	13835	14911	19795	21477	3966	18342
C11orf94	34	35	17	2	5	3
PEX16	1475	1394	1528	1861	508	1452
GYLTL1B	20	56	38	0	2	0
PHF21A	9054	11064	8068	2466	1095	2057
CREB3L1	170	205	258	739	166	476
DGKZ	4953	6473	6285	25322	5653	26637
MIR4688	1	0	0	1	0	1
MDK	5328	7202	2876	308	328	194
CHRM4	21	31	49	514	13	622
AMBRA1	5536	5815	6083	2452	459	2459
MIR3160-1	0	0	0	0	0	0
MIR3160-2	0	0	0	0	0	0
HARBI1	494	513	462	189	30	157
ATG13	7390	7688	8137	8581	1885	7542
ARHGAP1	5322	6258	6454	6324	1424	4265
ZNF408	832	987	955	485	160	355
F2	12	20	50	6	0	3
CKAP5	28823	36786	37118	9525	2035	11708
SNORD67	27	27	10	1	3	6
LOC100507401	22	23	14	19	7	8
LRP4	3127	5241	866	7622	5720	3444
C11orf49	4382	5268	6389	4154	1312	3585
ARFGAP2	7950	8470	8783	7051	1649	5650
PACSIN3	517	611	102	949	540	688
DDB2	761	958	746	289	119	261
ACP2	1807	2035	2188	1960	482	1917
NR1H3	376	613	497	442	437	359
MADD	16568	18799	21334	11825	1715	19639
MYBPC3	1	2	1	12	6	0
SPI1	75	85	39	153	40	76
SLC39A13	2587	2848	2239	2279	771	1548
PSMC3	6221	7483	7011	6711	2124	5558
RAPSN	0	4	0	0	13	1
CELF1	38322	46807	52576	6147	1832	7684
PTPMT1	961	1039	1077	1244	672	928
KBTBD4	1796	1740	2002	550	121	557
NDUFS3	2789	3352	3353	3296	1498	2807
FAM180B	110	65	113	10	17	37
C1QTNF4	3955	1604	2267	2650	395	2875
MTCH2	5943	6216	9955	3927	1183	4108
AGBL2	53	60	52	14	10	7
FNBP4	9090	10477	8033	2573	639	2197
NUP160	8226	10454	8380	978	429	924
PTPRJ	2322	4197	4295	2379	716	3442
OR4B1	0	0	0	0	0	0
OR4X2	0	0	0	0	0	0
OR4X1	0	0	0	0	0	0
OR4S1	0	0	0	0	0	0
OR4C3	0	0	0	0	0	0
OR4C45	0	0	0	0	0	0
OR4A47	0	0	0	0	0	0
LOC120824	0	0	0	0	0	0
LOC283116	0	0	0	1	0	0
TRIM64C	0	0	0	0	0	0
FOLH1	97	431	82	2139	174	959
LOC440040	44	41	103	253	35	320
OR4C13	0	0	0	0	0	0
OR4C12	0	0	0	0	0	0
LOC441601	3	7	7	14	6	20
LOC646813	0	0	0	0	1	0
OR4A5	0	0	0	0	0	0
OR4C46	0	0	0	0	0	0
TRIM48	0	0	0	0	0	0
LOC440041	0	0	0	0	0	0
OR4A16	0	0	0	0	0	0
OR4A15	0	0	0	0	0	0
OR4C15	0	0	0	0	0	0
OR4C16	0	0	0	0	0	0
OR4C11	0	0	0	0	0	0
OR4P4	0	0	0	0	0	0
OR4S2	0	0	0	0	0	0
OR4C6	0	0	0	0	0	0
OR5D13	0	0	0	0	0	0
OR5D14	0	0	0	0	0	0
OR5L1	0	0	0	0	0	0
OR5D18	0	0	0	0	0	0
OR5L2	0	0	0	0	0	0
OR5D16	0	0	0	0	0	0
SPRYD5	0	0	0	2	2	2
OR5W2	0	0	0	0	0	0
OR5I1	0	0	0	0	0	0
OR10AG1	0	0	0	0	0	0
OR7E5P	0	0	0	0	0	0
OR5F1	0	0	0	0	0	0
OR5AS1	0	0	0	0	0	0
OR8I2	0	0	0	0	0	0
OR8H2	0	0	0	0	0	0
OR8H3	0	0	0	0	0	0
OR8J3	0	0	0	0	0	0
OR8K5	0	0	7	0	0	0
OR5J2	0	0	0	0	0	0
OR5T2	0	0	0	0	0	0
OR5T3	0	0	0	0	0	0
OR5T1	0	0	0	0	0	0
OR8H1	0	0	0	0	0	0
OR8K3	0	0	0	0	0	0
OR8K1	0	0	0	0	0	0
OR8J1	0	0	0	0	0	0
OR8U8	0	0	0	0	0	0
OR8U1	0	0	0	0	0	0
OR5R1	0	0	0	0	0	0
OR5M9	0	0	0	0	0	0
OR5M3	0	0	1	0	0	0
OR5M8	0	0	5	0	0	0
OR5M11	0	0	0	0	0	0
OR5M10	0	0	0	0	0	0
OR5M1	0	0	0	0	0	0
OR5AP2	0	0	0	0	0	0
OR5AR1	0	0	0	0	0	0
OR9G9	0	0	0	0	0	0
OR9G1	0	0	0	0	0	0
OR9G4	0	0	0	0	0	0
OR5AK2	0	2	2	0	0	0
OR5AK4P	0	0	4	9	0	1
LRRC55	13917	13162	12982	753	48	1025
APLNR	818	1429	2106	836	80	843
TNKS1BP1	8279	10133	7665	2641	1311	2881
SSRP1	16726	20537	18223	5587	1296	4624
P2RX3	11	0	4	4	4	0
PRG3	0	0	2	0	0	0
PRG2	1	5	12	2	8	0
SLC43A3	1273	2016	1667	230	374	174
RTN4RL2	1058	1345	2233	2612	143	2093
SLC43A1	180	242	182	202	67	207
TIMM10	1270	1544	1210	1050	294	837
SMTNL1	436	472	570	20	5	30
UBE2L6	6581	7746	7934	2005	1025	1311
SERPING1	1626	2040	1395	1236	1202	986
MIR130A	2	1	2	0	0	0
YPEL4	830	1014	1047	2778	363	1947
CLP1	639	856	761	252	38	202
ZDHHC5	4225	4831	4875	2853	627	2953
MED19	1661	1993	2149	833	162	747
TMX2	3675	3724	3842	4952	1453	3760
TMX2-CTNND1	0	0	0	0	0	0
C11orf31	2001	2503	2341	2170	712	1843
BTBD18	55	72	90	35	13	38
CTNND1	673	1084	516	95	34	127
OR9Q1	0	0	1	0	0	0
OR6Q1	0	0	0	0	0	0
OR9I1	0	0	2	0	0	0
OR9Q2	0	0	0	0	0	0
OR1S2	0	0	0	0	0	0
OR1S1	0	0	0	0	0	0
OR10Q1	0	0	0	0	0	0
OR10W1	0	0	0	0	0	0
OR5B17	0	0	0	0	0	0
OR5B3	0	0	0	0	0	0
OR5B2	0	0	0	0	0	0
OR5B12	0	4	0	0	0	0
OR5B21	0	1	0	0	0	2
LPXN	222	267	213	411	155	232
ZFP91	7497	8369	9338	4128	1256	4276
ZFP91-CNTF	0	0	0	0	0	0
CNTF	5	12	2	0	0	0
GLYAT	2	23	4	0	0	0
GLYATL2	97	68	52	19	23	44
GLYATL1	26	16	25	16	12	17
LOC283194	109	73	122	0	6	0
FAM111B	776	979	143	0	0	0
FAM111A	2168	2656	483	427	235	237
DTX4	22932	21924	28495	3432	504	4309
MPEG1	143	220	239	100	20	81
OR5AN1	0	0	0	0	0	0
OR5A2	0	0	0	0	0	0
OR5A1	0	0	0	0	0	0
OR4D6	0	0	0	0	0	0
OR4D10	0	0	0	0	0	0
OR4D11	0	0	0	0	0	0
OR4D9	0	0	0	0	0	0
OSBP	6206	7182	6997	3609	824	3949
MIR3162	2	0	1	0	0	0
PATL1	4925	5638	4705	1304	421	1101
OR10V1	4	0	3	0	0	0
OR10V2P	67	50	84	3	0	0
STX3	4314	2249	5522	1684	331	2174
MRPL16	1589	1613	1789	1647	516	1080
GIF	0	7	2	3	0	0
TCN1	0	2	3	2	0	2
PLAC1L	0	2	2	0	0	0
MS4A3	0	0	2	2	0	4
MS4A2	15	0	14	0	6	4
MS4A6A	6	54	62	22	8	42
MS4A4A	9	56	51	18	2	37
MS4A6E	0	0	0	0	0	0
MS4A7	36	104	43	63	19	55
MS4A14	5	7	4	32	0	18
MS4A5	0	0	0	0	0	0
MS4A1	0	2	2	0	32	18
MS4A12	0	0	0	0	0	0
MS4A13	0	0	0	0	0	0
LINC00301	0	0	0	0	0	0
MS4A8B	0	10	27	12	5	10
MS4A15	0	3	0	4	0	0
MS4A10	0	0	0	0	0	0
CCDC86	686	773	746	889	163	645
PTGDR2	138	251	94	270	308	148
ZP1	1	17	21	11	6	13
PRPF19	8491	9000	7464	9452	1456	8407
TMEM109	1638	1586	1589	2074	855	1561
TMEM132A	23953	19174	16043	10599	3521	8929
SLC15A3	63	85	48	186	112	70
CD6	13	9	16	124	46	114
CD5	12	13	7	55	31	28
VPS37C	1436	1386	1357	1370	288	1004
PGA3	2	0	2	0	1	0
PGA4	1	0	1	0	0	0
PGA5	31	43	50	20	0	12
VWCE	1032	1133	909	283	71	196
DDB1	21965	26796	24372	14857	3305	13580
DAK	1326	1155	926	1058	271	847
CYBASC3	767	822	764	770	235	571
TMEM138	1012	1174	891	337	183	281
TMEM216	712	970	635	337	272	201
CPSF7	13143	14657	12386	4909	1488	4657
SDHAF2	2106	2429	2704	1513	425	971
PPP1R32	301	289	271	195	48	171
MIR4488	0	0	0	0	0	0
LRRC10B	398	497	311	311	192	384
SYT7	6971	11857	13370	14588	1172	17330
RPLP0P2	4	2	18	152	12	129
DAGLA	4226	4018	4662	5054	894	6319
C11orf9	454	477	392	13465	805	6406
DKFZP434K028	0	0	0	14	2	18
C11orf10	1506	1711	1610	1162	550	773
MIR611	10	9	13	6	0	6
FEN1	2017	2008	1344	1202	203	971
FADS1	14189	16770	18777	6869	3338	2811
MIR1908	5	4	0	7	0	1
FADS2	25301	27645	32102	10238	7537	4104
FADS3	2089	2354	3424	2588	856	1690
RAB3IL1	299	465	640	335	248	215
BEST1	285	319	250	1243	233	478
FTH1	53639	61454	60602	88829	45239	58029
INCENP	4156	4110	2625	915	150	1499
SCGB1D1	0	0	0	0	0	0
SCGB2A1	0	0	0	0	0	0
SCGB1D2	0	0	0	0	6	0
SCGB2A2	0	0	0	0	0	0
SCGB1D4	0	0	0	0	0	0
ASRGL1	3804	4531	4664	5384	5575	2972
SCGB1A1	4	12	7	0	0	6
AHNAK	2438	7731	10675	6718	9046	6575
EEF1G	116331	127863	104095	13667	6065	9841
MIR3654	0	0	0	0	0	0
TUT1	1721	1746	1269	1009	297	681
MTA2	11876	13715	9922	2669	887	1727
EML3	903	1694	605	1167	738	607
ROM1	133	320	78	709	597	270
B3GAT3	3011	2494	2593	2885	874	1959
GANAB	15576	17944	14734	8623	2162	7623
INTS5	1582	1747	1585	1148	240	1019
C11orf48	1309	1856	1757	1175	642	880
METTL12	475	551	372	52	26	69
SNORA57	30	29	45	5	11	8
C11orf83	454	605	571	360	165	319
UBXN1	7965	8464	6756	3379	1092	2360
LRRN4CL	14	32	73	25	59	61
BSCL2	252	172	240	183	30	180
HNRNPUL2-BSCL2	0	0	0	0	0	0
GNG3	4866	5592	7772	15079	1566	12118
HNRNPUL2	8799	10181	11569	7415	1714	5020
TTC9C	1427	1860	1514	1056	160	976
ZBTB3	791	893	890	300	102	186
POLR2G	3636	4080	3801	1653	836	918
TAF6L	1459	1381	1011	1143	301	724
TMEM179B	718	854	647	589	340	459
TMEM223	500	445	413	465	127	367
NXF1	9207	10692	7474	4084	1016	3011
STX5	2862	2988	3096	1519	523	1333
WDR74	2442	2473	2171	1155	356	884
SNHG1	4714	4857	3711	859	411	441
SNORD22	67	93	85	25	12	10
SNORD31	114	116	86	31	18	13
SNORD30	62	80	70	7	3	4
SNORD29	69	93	69	7	4	8
SNORD28	74	68	64	3	3	10
SNORD27	69	77	54	6	2	3
SNORD26	88	78	66	5	3	18
SNORD25	195	163	122	32	16	17
SLC3A2	5988	6925	6554	6052	3678	3454
CHRM1	631	755	1826	6787	540	6010
SLC22A6	80	350	491	105	113	45
SLC22A8	10	102	77	13	32	6
SLC22A24	0	0	0	0	0	0
SLC22A25	0	4	1	4	2	6
MIR3680-1	0	0	0	0	0	0
SLC22A10	6	4	4	46	2	39
SLC22A9	0	2	2	69	36	100
HRASLS5	243	188	134	313	82	405
LGALS12	0	2	4	4	0	0
RARRES3	12	18	24	219	185	143
HRASLS2	2	1	0	2	0	4
PLA2G16	128	209	131	3799	1400	2543
ATL3	611	943	671	189	78	301
RTN3	58315	64725	82455	102037	8250	101634
C11orf95	31210	31400	35721	2511	704	2703
C11orf84	2312	3252	2376	1156	283	960
MARK2	6206	6409	6501	4007	659	4262
RCOR2	5802	7174	2984	1007	72	861
NAA40	5916	7493	7159	1411	365	1289
COX8A	2800	3467	3193	3755	2667	3441
OTUB1	6310	6883	7497	11050	1582	9595
MACROD1	875	725	965	465	138	232
FLRT1	2637	1817	1746	1259	228	1403
STIP1	14125	19265	17150	7909	1369	6329
FERMT3	97	177	114	116	85	93
TRPT1	834	892	651	760	430	539
NUDT22	585	659	613	739	367	692
DNAJC4	1085	1338	808	1170	654	898
VEGFB	1534	3156	3284	3055	3286	1627
FKBP2	1186	1521	1489	2315	1272	1644
PPP1R14B	4597	6568	5520	576	522	375
PLCB3	1599	1379	385	581	659	332
BAD	1294	1707	2005	2231	1830	1630
GPR137	2802	2824	2687	3538	1153	2402
KCNK4	207	276	465	775	120	640
